"id","label","desc","literature","wkt","certainty","certaintyinfo","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","agent","methoddesc"
1,"Acerra Sink","CI findspot related from literature","Scandone et al., 1991","POINT(14.3624 40.9489)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/6537337","fsl:partlyMatch","fsl:PaperDesc","fsl:Paper","fsl:Sink","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
2,"Acqua Fidia","CI findspot related from literature","Rosi et al., 1999","POINT(14.6983 40.9285)","fsl:medium","findspot mentioned in a scientific paper","https://www.openstreetmap.org/node/2883423553","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
3,"Capezzano","CI findspot related from literature","Rosi et al., 1999","POINT(14.7680 40.7119)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q2610850","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
4,"Casola","CI findspot related from literature","Rosi et al., 1999","POINT(14.5259 40.6993)","fsl:medium","findspot mentioned in a scientific paper","https://www.openstreetmap.org/node/68580470","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
5,"Castelcivita Cave","CI findspot related from literature","Fedele et al., 2008;Giaccio et al., 2008","POINT(15.2092 40.4956)","fsl:high","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q3777120;http://openstreetmap.org/node/337519639","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 337519639"
6,"Copecchia","CI findspot related from literature","Rosi et al., 1999","POINT(14.7662 40.7198)","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q3690987;http://openstreetmap.org/node/4371325110","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 4371325110"
7,"Cuma","CI findspot related from literature","Pappalardo et al., 1999","POINT(14.0560 40.8381) ","fsl:medium","findspot mentioned in a scientific paper","http://wikidata.org/entity/Q243456","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 4371325110"
8,"Gulf of Naples","CI findspot related from literature","Arienzo et al., 2009","POINT(14.2559 40.7192)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/3172393","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 4371325110"
9,"Lago Patria (Naples)","CI findspot related from literature","Civetta et al., 1997;Scandone et al., 1991","POINT(14.0366 40.9260)","fsl:medium","findspot mentioned in a scientific paper","https://sws.geonames.org/9881928","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:InhabitedPlace","fsl:Georeferencing","http://orcid.org/0000-0002-3246-3531","set a representative point based on scientific papers using OSM Node 4371325110"
10,"Marina di Cassano (Naples)","CI findspot related from literature","Civetta et al., 1997","POINT(14.3998 40.6385)","fsl:medium","findspot mentioned in a scientific paper","http://sws.geonames.org/11961630;http://openstreetmap.org/node/566221732","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","http://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps"
